case_numbe,sr_type,quad_statu,day,sec_name,quad,tally
101003886825,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR119,NW,1
101003920813,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR119,NW,1
101003890869,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR118,NW,1
101003924582,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR103,NE,1
101003892130,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR120,NE,1
101003906091,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR120,NE,1
101003922938,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR117,NE,1
101003886689,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003885966,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003887831,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003889856,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003890057,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003892655,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003921419,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003923626,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR113,NE,1
101003885517,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
101003885741,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
101003886325,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
101003887629,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
101003885513,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR105,NW,1
101003887722,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR105,NW,1
101003888774,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR106,NW,1
101003885443,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR104,NW,1
101003885768,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR121,NW,1
101003886407,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR121,NW,1
101003921517,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR103,NE,1
101003887476,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR115,NW,1
101003886568,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR103,NW,1
101003885897,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
101003888925,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR120,NW,1
