case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
10100392721,8618 BOB ,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU113,SW,1
9,"WHITE, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77074,,,,,,
10100393009,8606,Recycling ,SW_Not_Ove,TUESDAY,SWTU113,SW,1
4,ROBINDELL,Cart Repair ,rdue,,,,
,", HOUSTON ",or Replace,,,,,
,77074,,,,,,
10100390841,6128,Recycling ,SW_Overdue,TUESDAY,SWTU113,SW,1
2,"DARNELL, ",Cart Repair ,,,,,
,HOUSTON ,or Replace,,,,,
,77074,,,,,,
10100393132,2400 N ,Dead Animal ,SW_Not_Ove,TUESDAY,SWTU121,SW,1
7,BRAESWOO,Collection,rdue,,,,
,"D, ",,,,,,
,HOUSTON ,,,,,,
,77030,,,,,,
10100393161,2534 GLEN ,Add A Can,SW_Not_Ove,TUESDAY,SWTU121,SW,1
2,"HAVEN, ",,rdue,,,,
,HOUSTON ,,,,,,
,77030,,,,,,
10100393161,2534 GLEN ,Container ,SW_Not_Ove,TUESDAY,SWTU121,SW,1
1,"HAVEN, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
,77030,,,,,,
10100392297,3823,New Move In ,SW_Not_Ove,TUESDAY,SWTU118,SW,1
8,"CHILDRESS, ",Service,rdue,,,,
,HOUSTON ,,,,,,
,77005,,,,,,
10100392723,3802,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU118,SW,1
7,WESTERMA,Waste Pickup,rdue,,,,
,"N, ",,,,,,
,HOUSTON ,,,,,,
,77005,,,,,,
10100391965,3823,Container ,SW_Overdue,TUESDAY,SWTU118,SW,1
0,"CHILDRESS, ",Problem,,,,,
,HOUSTON ,,,,,,
,77005,,,,,,
10100392900,"11831 ALEX, ",Missed ,SW_Not_Ove,THURSDAY,SWTH103,SW,1
3,HOUSTON ,Garbage ,rdue,,,,
,77071,Pickup,,,,,
10100392612,11502,Missed Yard ,SW_Overdue,MONDAY,SWMO105,SW,1
8,GREEN ,Waste Pickup,,,,,
,"GLADE, ",,,,,,
,HOUSTON ,,,,,,
,77099,,,,,,
10100393052,10146,Container ,SW_Not_Ove,MONDAY,SWMO105,SW,1
4,AMBLEWOO,Problem,rdue,,,,
,"D, ",,,,,,
,HOUSTON ,,,,,,
,77099,,,,,,
10100392735,11711,Container ,SW_Not_Ove,THURSDAY,SWTH108,SW,1
2,"BOWLAN, ",Problem,rdue,,,,
,HOUSTON ,,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,77035,,,,,,
10100392603,7730,Missed Yard ,SW_Overdue,THURSDAY,SWTH104,SW,1
7,CANDLEGR,Waste Pickup,,,,,
,"EEN, ",,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100392410,12903,Container ,SW_Not_Ove,MONDAY,SWMO110,SW,1
1,ASHFORD ,Problem,rdue,,,,
,"CHASE, ",,,,,,
,HOUSTON ,,,,,,
,77082,,,,,,
10100392698,3607,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU105,SW,1
1,"TARTAN, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100392711,3739,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU105,SW,1
4,DRUMMON,Waste Pickup,rdue,,,,
,"D, ",,,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100392436,12615,Missed ,SW_Overdue,MONDAY,SWMO102,SW,1
0,HUNTING ,Recycling ,,,,,
,"BRIAR, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77099,,,,,,
10100392550,8111 LAKE ,Missed Yard ,SW_Overdue,THURSDAY,SWTH104,SW,1
4,"EDGE, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77071,,,,,,
10100392967,5950,Recycling ,SW_Not_Ove,TUESDAY,SWTU112,SW,1
7,"VALKEITH, ",Cart Repair ,rdue,,,,
,HOUSTON ,or Replace,,,,,
,77096,,,,,,
10100392491,6046,Missed Yard ,SW_Overdue,TUESDAY,SWTU112,SW,1
4,"DUMFRIES, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77096,,,,,,
10100392706,4402 YUPON ,Missed Yard ,SW_Not_Ove,MONDAY,SWMO113,SW,1
9,"RIDGE, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77072,,,,,,
10100392974,11123,Missed ,SW_Not_Ove,MONDAY,SWMO113,SW,1
6,"PETWORTH, ",Garbage ,rdue,,,,
,HOUSTON ,Pickup,,,,,
,77072,,,,,,
10100393025,3122 HAZEL ,Recycling ,SW_Not_Ove,MONDAY,SWMO109,SW,1
7,"PARK, ",Cart Repair ,rdue,,,,
,HOUSTON ,or Replace,,,,,
,77082,,,,,,
10100392976,12130,New Resident ,SW_Not_Ove,MONDAY,SWMO103,SW,1
2,"FAIRPOINT, ",Container,rdue,,,,
,HOUSTON ,,,,,,
,77099,,,,,,
10100392743,12331,Missed ,SW_Overdue,THURSDAY,SWTH102,SW,1
4,WRENTHOR,Garbage ,,,,,
,"PE, ",Pickup,,,,,
,HOUSTON ,,,,,,
case_numbe,sr_locatio,sr_type,quad_statu,DAY,SEC_NAME,QUAD,tally
,77031,,,,,,
10100393061,12818,Recycling ,SW_Not_Ove,MONDAY,SWMO110,SW,1
6,ASHFORD ,Cart Repair ,rdue,,,,
,"MEADOW, ",or Replace,,,,,
,HOUSTON ,,,,,,
,77082,,,,,,
10100393274,2822,Missed ,SW_Not_Ove,MONDAY,SWMO110,SW,1
9,ASHFORD ,Garbage ,rdue,,,,
,"TRAIL, ",Pickup,,,,,
,HOUSTON ,,,,,,
,77082,,,,,,
10100391961,12723,Recycling ,SW_Overdue,MONDAY,SWMO110,SW,1
4,ASHFORD ,Cart Repair ,,,,,
,"BROOK, ",or Replace,,,,,
,HOUSTON ,,,,,,
,77082,,,,,,
10100392035,7506,Container ,SW_Overdue,TUESDAY,SWTU108,SW,1
1,"EICHLER, ",Problem,,,,,
,HOUSTON ,,,,,,
,77036,,,,,,
10100390924,9638,Recycling ,SW_Not_Ove,MONDAY,SWMO116,SW,1
5,WINDSWEP,Participation ,rdue,,,,
,"T, ",NEW,,,,,
,HOUSTON ,,,,,,
,77063,,,,,,
10100390681,4004,Missed Heavy ,SW_Overdue,MONDAY,SWMO115,SW,1
9,"ARTDALE, ",Trash Pickup,,,,,
,HOUSTON ,,,,,,
,77063,,,,,,
10100390619,"3923 ARC, ",Missed Heavy ,SW_Overdue,MONDAY,SWMO115,SW,1
5,HOUSTON ,Trash Pickup,,,,,
,77063,,,,,,
10100393040,3655,Missed Yard ,SW_Not_Ove,TUESDAY,SWTU105,SW,1
6,"MARONEAL, ",Waste Pickup,rdue,,,,
,HOUSTON ,,,,,,
,77025,,,,,,
10100392538,6908,Missed ,SW_Overdue,TUESDAY,SWTU105,SW,1
7,"SEWANEE, ",Recycling ,,,,,
,HOUSTON ,Pickup,,,,,
,77025,,,,,,
10100392992,4258 YUPON ,Missed ,SW_Not_Ove,MONDAY,SWMO113,SW,1
4,"RIDGE, ",Garbage ,rdue,,,,
,HOUSTON ,Pickup,,,,,
,77072,,,,,,
10100392612,4222,Missed Yard ,SW_Overdue,MONDAY,SWMO113,SW,1
0,"BOONE, ",Waste Pickup,,,,,
,HOUSTON ,,,,,,
,77072,,,,,,
10100393200,7035,Missed ,SW_Not_Ove,TUESDAY,SWTU103,SW,1
6,"BELLAIRE, ",Garbage ,rdue,,,,
,HOUSTON ,Pickup,,,,,
,77074,,,,,,
