case_numbe,sr_type,quad_statu,day,sec_name,quad,tally
101003890321,Missed Heavy Trash Pickup,SW_Overdue,FRIDAY,SWFR116,SW,1
101003921282,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR105,SW,1
101003927448,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR105,SW,1
101003928624,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR110,SW,1
101003927177,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR112,SW,1
101003928657,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR122,SW,1
101003925114,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR107,SW,1
101003925316,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR107,SW,1
101003928635,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR118,SW,1
101003928609,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR118,SW,1
101003920715,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR109,SW,1
101003886679,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR115,SE,1
101003922737,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR121,SE,1
101003928228,Missed Garbage Pickup,SE_Overdue,FRIDAY,SEFR109,SE,1
101003777565,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR109,SE,1
101003886417,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003928735,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003886041,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003921254,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003923230,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR104,SW,1
101003922221,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR110,SW,1
101003904839,Missed Heavy Trash Pickup,SW_Overdue,FRIDAY,SWFR118,SW,1
101003906884,Missed Heavy Trash Pickup,SW_Overdue,FRIDAY,SWFR121,SW,1
