case_numbe,sr_type,quad_statu,day,sec_name,quad,tally
101003926128,Missed Yard Waste Pickup,SW_Overdue,MONDAY,SWMO105,SW,1
101003924360,Missed Recycling Pickup,SW_Overdue,MONDAY,SWMO102,SW,1
101003906819,Missed Heavy Trash Pickup,SW_Overdue,MONDAY,SWMO115,SW,1
101003906195,Missed Heavy Trash Pickup,SW_Overdue,MONDAY,SWMO115,SW,1
101003926120,Missed Yard Waste Pickup,SW_Overdue,MONDAY,SWMO113,SW,1
101003890151,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO108,SE,1
101003887934,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003888617,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890586,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO106,SE,1
101003888574,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO121,SE,1
101003892163,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO116,SE,1
101003891343,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003890492,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890511,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890899,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO107,SE,1
101003890903,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO105,SE,1
101003889029,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003889363,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003890966,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003889765,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003891235,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO107,SE,1
101003889599,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO123,SE,1
101003923170,Missed Recycling Pickup,SE_Overdue,MONDAY,SEMO115,SE,1
101003905899,Missed Heavy Trash Pickup,SW_Overdue,MONDAY,SWMO115,SW,1
101003904681,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO121,SE,1
101003892807,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO104,SE,1
101003889708,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
