case_numbe,sr_type,quad_statu,day,sec_name,quad,tally
101003928245,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH101A,SE,1
101003927369,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH101A,SE,1
101003928483,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH106B,SE,1
101003927321,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH107A,SE,1
101003928282,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH109A,SE,1
101003927796,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH113A,SE,1
101003926969,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH113A,SE,1
101003927420,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH113A,SE,1
101003927899,Missed Garbage Pickup,SE_Overdue,THURSDAY,SETH117,SE,1
101003923377,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH101,SW,1
101003927434,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH102,SW,1
101003927524,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003927351,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003927121,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003926961,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003926037,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH104,SW,1
101003925504,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH104,SW,1
101003927436,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH106,SW,1
101003928456,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH106,SW,1
101003927428,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH106,SW,1
101003926766,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH107,SW,1
101003922014,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH107,SW,1
101003925178,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH107,SW,1
101003928385,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH108,SW,1
101003927273,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH109,SW,1
101003927714,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH111,SW,1
101003925803,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003921687,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003926623,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003921492,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003928172,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003927468,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003927590,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003923126,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH116,SW,1
101003927451,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH117,SW,1
101003928186,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH119,SW,1
101003926810,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH121,SW,1
101003925994,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH121,SW,1
