case_number,longitude,latitude,Poly_ID,SERVICE_DA
101003953620.00,-95.358462,29.805964,NE1FR_01,1st Friday
101003954939.00,-95.359863,29.805188,NE1FR_01,1st Friday
101003953780.00,-95.343804,29.788825,NE1FR_03,1st Friday
101003952806.00,-95.347908,29.779999,NE1FR_04,1st Friday
101003957299.00,-95.367187,29.781414,NE1FR_06,1st Friday
101003954891.00,-95.368503,29.801756,NE1FR_07,1st Friday
101003972110.00,-95.361021,29.783767,NE1FR_07,1st Friday
101003970044.00,-95.361742,29.804438,NE1FR_09,1st Friday
101003952956.00,-95.362863,29.808428,NE1FR_10,1st Friday
101003952937.00,-95.367519,29.811348,NE1FR_10,1st Friday
101003954918.00,-95.209466,29.821947,NE1MO_03,1st Monday
101003955630.00,-95.214217,29.819382,NE1MO_03,1st Monday
101003955643.00,-95.212009,29.816793,NE1MO_03,1st Monday
101003955722.00,-95.215455,29.800363,NE1MO_03,1st Monday
101003956983.00,-95.323563,29.780299,NE1TH_05,1st Thursday
101003954703.00,-95.317031,29.788577,NE1TH_09,1st Thursday
101003951862.00,-95.308348,29.791988,NE1TH_10,1st Thursday
101003957205.00,-95.308313,29.793365,NE1TH_10,1st Thursday
101003969512.00,-95.309101,29.793351,NE1TH_10,1st Thursday
101003968402.00,-95.256551,29.73705,NE1TU_02,1st Tuesday
101003956896.00,-95.296644,29.766804,NE1TU_07,1st Tuesday
101003956732.00,-95.29451,29.774139,NE1TU_07,1st Tuesday
101003957852.00,-95.299026,29.771,NE1TU_07,1st Tuesday
101003972283.00,-95.334885,29.83562,NE2FR_03,2nd Friday
101003973650.00,-95.335013,29.835938,NE2FR_03,2nd Friday
101003972017.00,-95.338715,29.815651,NE2FR_05,2nd Friday
101003970732.00,-95.344161,29.812132,NE2FR_05,2nd Friday
101003971039.00,-95.337656,29.817378,NE2FR_05,2nd Friday
101003971290.00,-95.339091,29.818293,NE2FR_05,2nd Friday
101003970642.00,-95.347666,29.820829,NE2FR_06,2nd Friday
101003970776.00,-95.363302,29.819131,NE2FR_08,2nd Friday
101003971838.00,-95.354478,29.816188,NE2FR_08,2nd Friday
