id,case_number,district,sr_location,latitude,longitude
31339275,101003971245,H,"1105 E 37TH, HOUSTON 77022",29.82040645,-95.38531086
31340169,101003971860,H,"1407 E 35TH, HOUSTON 77022",29.81813899,-95.38051161
31340277,101003971937,H,"315 DORCHESTER, HOUSTON 77022",29.82297656,-95.37094638
31340379,101003972017,H,"3213 REID, HOUSTON 77026",29.81565079,-95.33871512
31340437,101003972070,H,"1316 E 35TH, HOUSTON 77022",29.81777669,-95.38165748
31340440,101003972072,H,"7701 JENSEN, HOUSTON 77093",29.82895738,-95.34292863
31340452,101003972081,H,"7149 ROSWELL, HOUSTON 77022",29.82551248,-95.36982864
31340469,101003972093,B,"2131 PINE TREE, HOUSTON 77093",29.87005841,-95.3523218
31340488,101003972110,H,"2411 FULTON, HOUSTON 77009",29.7837671,-95.36102135
31340771,101003972316,I,"9551 JUNIPER PLACE, HOUSTON 77075",29.63132329,-95.24105894
31340959,101003972463,H,"1218 KING, HOUSTON 77022",29.8170412,-95.35539828
31341125,101003905825,H,"911 WOODLAND, HOUSTON 77009",,
31341220,101003972655,H,"1206 RIGGS, HOUSTON 77022",29.82410785,-95.38529617
31341421,101003972785,B,"7931 LOCKSLEY, HOUSTON 77078",29.85316226,-95.28143906
31341479,101003972824,B,"8619 VALLEY SOUTH, HOUSTON 77078",29.84909164,-95.23936528
31341498,101003972836,B,"8107 PENROD, HOUSTON 77028",29.82604139,-95.2781554
31341504,101003972839,B,"10111 VALLEY BREEZE, HOUSTON 77078",29.84939657,-95.23741558
31341828,101003973068,B,"8426 DARLINGTON, HOUSTON 77028",29.83433869,-95.27210533
31341861,101003973097,B,"9738 HILLIS, HOUSTON 77078",29.85442451,-95.26822112
31341939,101003973163,B,"9742 HILLIS, HOUSTON 77078",29.85459377,-95.26822448
31341970,101003973195,B,"8711 VALLEY SONG, HOUSTON 77078",29.84904062,-95.23126834
31342447,101003973567,B,"2402 MOREAU, HOUSTON 77093",29.86419343,-95.34837608
31342453,101003973571,B,"8614 SHADY VISTA, HOUSTON 77028",29.84018152,-95.26930777
31342455,101003973572,B,"5508 EASTLAND, HOUSTON 77028",29.81146155,-95.28069211
31342491,101003973607,B,"1725 SKINNER, HOUSTON 77093",29.86763154,-95.35863327
31342555,101003973654,I,"7048 HEMLOCK, HOUSTON 77087",29.71139726,-95.29273884
31342675,101003907068,I,"428 DE HAVEN, HOUSTON 77029",,
31343063,101003974076,D,"11022 FERN TERRACE, HOUSTON 77075",29.6047636,-95.25199292
31343329,101003974255,B,"7209 RHOBELL, HOUSTON 77016",29.85634776,-95.29820944
31343334,101003974258,B,"7429 YOE, HOUSTON 77016",29.85933245,-95.29350726
31343357,101003974275,J,"6701 SHARPCREST, HOUSTON 77074",29.69449003,-95.5010111
31343382,101003974293,B,"10315 REBEL, HOUSTON 77016",29.86214017,-95.29194547
31343435,101003907831,E,"8314 TARBELL, HOUSTON 77034",,
31343533,101003974398,K,"9614 BOB WHITE, HOUSTON 77096",29.67440722,-95.50281041
31343553,101003974412,B,"6928 APACHE, HOUSTON 77028",29.82234902,-95.30614542
31343616,101003974462,B,"7307 GORE, HOUSTON 77016",29.86310306,-95.29768994
31343619,101003974464,B,"7713 BOGGESS, HOUSTON 77016",29.86190219,-95.28909304
31343627,101003974469,B,"7449 BYWOOD, HOUSTON 77028",29.83784019,-95.29398352
31343639,101003974478,B,"7633 LAKEWOOD, HOUSTON 77016",29.86276795,-95.28998697
31343662,101003974497,B,"7419 BOGGESS, HOUSTON 77016",29.86167954,-95.29448553
31343678,101003974511,C,"6123 S BRAESWOOD, HOUSTON 77096",29.67717149,-95.49857803
31343732,101003974552,B,"7050 PEYTON, HOUSTON 77028",29.81920151,-95.30307636
31343735,101003974554,B,"7441 GLEASON, HOUSTON 77016",29.86403503,-95.29410384
31343760,101003974571,B,"5001 BOICEWOOD, HOUSTON 77016",29.84309807,-95.31810103
31343946,101003974703,B,"7206 WILEY, HOUSTON 77016",29.85827808,-95.29907329
31344020,101003974755,B,"9911 VALLEY MILL, HOUSTON 77078",29.85361193,-95.24026568
31344025,101003974758,B,"7716 BRETSHIRE, HOUSTON 77016",29.8529819,-95.28846476
31344117,101003974818,E,"4103 HERMITAGE HOLLOW, HOUSTON 77339",30.07249325,-95.21112646
31344148,101003974839,I,"6622 AVENUE E, HOUSTON 77011",29.74032247,-95.30796787
31344306,101003974957,B,"8506 AUTUMN, HOUSTON 77016",29.83758713,-95.32224167
31344537,101003975137,B,"8216 SPAULDING, HOUSTON 77016",29.83507085,-95.30756203
31344540,101003975139,H,"225 WALLACE, HOUSTON 77022",29.82363238,-95.37211744
31344592,101003975177,B,"7143 LEY, HOUSTON 77028",29.83175705,-95.29997574
31344748,101003975282,B,"7223 SANDRA, HOUSTON 77028",29.82590953,-95.31404675
31344830,101003975335,D,"9219 CANADY PARK, HOUSTON 77075",29.6122617,-95.25385183
31344833,101003975337,C,"1635 W 23RD, HOUSTON 77008",29.80694939,-95.42879372
31344858,101003975352,B,"7313 COLTON, HOUSTON 77016",29.86260781,-95.29686065
31344867,101003975359,I,"9435 CONGER, HOUSTON 77075",29.64179658,-95.24730077
31344895,101003975378,I,"6615 AVENUE E, HOUSTON 77011",29.74091808,-95.30837688
31345021,101003919597,H,"1216 WRIGHTWOOD, HOUSTON 77009",,
