id,case_numbe,QUAD
7235174,1.01004E+11,SE
7235247,1.01004E+11,SW
7235344,1.01004E+11,NE
7235353,1.01004E+11,NE
7235398,1.01004E+11,SE
7235430,1.01004E+11,SE
7235472,1.01004E+11,NE
7235474,1.01004E+11,NE
7235476,1.01004E+11,NE
7235479,1.01004E+11,NE
7236032,1.01004E+11,SW
7236122,1.01004E+11,NW
7236167,1.01004E+11,SE
7236275,1.01004E+11,SW
7236736,1.01004E+11,NE
7236788,1.01004E+11,NE
7237153,1.01004E+11,SW
7237183,1.01004E+11,NW
7237187,1.01004E+11,NW
7237283,1.01004E+11,NW
7237291,1.01004E+11,SW
7237392,1.01004E+11,SW
7237556,1.01004E+11,NE
7237597,1.01004E+11,NW
7237706,1.01004E+11,NW
7237707,1.01004E+11,NW
7237708,1.01004E+11,NW
7237726,1.01004E+11,SW
7237759,1.01004E+11,SE
7237811,1.01004E+11,NW
7237813,1.01004E+11,NW
7238053,1.01004E+11,SE
7238080,1.01004E+11,NW
7238081,1.01004E+11,NW
7238089,1.01004E+11,NW
7238127,1.01004E+11,NW
7238218,1.01004E+11,SW
7238306,1.01004E+11,SW
7238329,358088-101003595892,SE
7238384,358244-101003595947,NE
7238426,358338-101003595989,NW
7238541,1.01004E+11,SW
7238588,1.01004E+11,SE
7238627,358533-101003596194,SW
7238723,1.01004E+11,SE
7238804,1.01004E+11,SE
7238817,1.01004E+11,NW
7238836,1.01004E+11,NW
7238858,1.01004E+11,SW
7238897,1.01004E+11,SE
7238923,1.01004E+11,NE
7238928,1.01004E+11,SW
7238933,1.01004E+11,SW
7238934,1.01004E+11,SW
7239065,1.01004E+11,NW
7239082,1.01004E+11,NE
7239119,1.01004E+11,NE
7239229,1.01004E+11,NE
7239230,1.01004E+11,NE
7239235,1.01004E+11,NE
7239434,1.01004E+11,SW
7239487,1.01004E+11,SE
7239507,1.01004E+11,SW
7239525,1.01004E+11,SW
7239696,1.01004E+11,NW
7239730,1.01004E+11,NW
7239902,1.01004E+11,NW
7239913,1.01004E+11,SE
7239915,1.01004E+11,NW
7240052,1.01004E+11,NW
7240381,1.01004E+11,NW
7240394,1.01004E+11,NW
7240479,1.01004E+11,NW
7240481,1.01004E+11,NW
7240487,1.01004E+11,NW
7240489,1.01004E+11,NW
7240656,1.01004E+11,SE
7240804,1.01004E+11,SW
7240832,1.01004E+11,SW
7240925,1.01004E+11,NW
7241023,1.01004E+11,NW
7241048,358606-101003598927,SE
7241091,358723-101003598970,NE
7241094,358736-101003598973,SW
7241097,358741-101003598976,SW
7241119,358799-101003598998,SE
7241241,1.01004E+11,SW
7241317,1.01004E+11,NE
7241376,358890-101003599264,NE
7241425,1.01004E+11,NE
7241728,1.01004E+11,NE
7241794,1.01004E+11,SW
7241901,1.01004E+11,SW
7242016,1.01004E+11,NE
7242137,1.01004E+11,NW
7242142,1.01004E+11,NW
7242231,1.01004E+11,NE
7242241,1.01004E+11,NE
7242403,1.01004E+11,SW
